Carimbo de data/hora,Qual sua faixa etária?,Qual sua situação profissional?,Qual sua renda mensal aproximada?,Você costuma controlar seus gastos mensais?,Como você controla seus gastos?,Com que frequência você registra seus gastos?,Você costuma ultrapassar seu orçamento mensal?  ,Você costuma planejar seus gastos antes de receber seu dinheiro?,Você possui uma reserva de emergência?,Faz algum tipo de investimento?,"Se sim, qual?",Você considera que possui educação financeira suficiente?,Você tem interesse em aprender mais sobre educação financeira?,Você já fez algum curso ou consumiu conteúdo sobre finanças?  ,Onde você costuma buscar informações sobre finanças?  (marque todas que se aplicam),Você teve algum tipo de educação financeira na escola?,"Se sim, o quão eficiente você sentiu que foram essas aulas? (não responda caso não tenha tido aulas)",Sente falta de um conhecimento financeiro mais amplo no dia a dia?,Você acredita que ferramentas digitais podem melhorar sua educação financeira?,"Você entende conceitos básicos de finanças (ex: juros, orçamento, dívida, imposto de renda, inadimplência)",Qual desses temas você considera mais difícil?  (marque todas que se aplicam)    ,O que mais dificulta seu aprendizado sobre finanças?,Você já utilizou algum aplicativo de controle financeiro?,"Se sim, qual foi sua experiência?  (não responda caso não tenha tido experiência)",O que você mais gostaria de ver em um sistema de controle financeiro?,Qual formato você prefere para aprender sobre finanças?  (marque todas que se aplicam),Qual sua maior dificuldade em relação ao dinheiro?  (marque todas que se aplicam),Você acha que um dashboard simples ajudaria no controle financeiro?,Que tipo de ajuda você considera mais útil?,"Atualmente, você se encontra em situação de inadimplência (com contas ou dívidas em atraso)?",Quais tipos de pendências financeira você possui atualmente? (marque todas que se aplicam),Com que frequência você enfrenta dificuldades para pagar suas contas no prazo?  ,"Você teria interesse em usar um app/site de controle financeiro que, além de organizar seus gastos, também ofereça conteúdos e orientações para melhorar sua educação financeira?  "
05/05/2026 21:40:58,45 ou mais,Autônomo / Freelancer,2 a 5 salários mínimos,Sim,De cabeça,Não registro,Nunca,"Não possuo renda fixa, portanto não planejo",Sim,Não,,1,Sim,Não,Redes Sociais,Não,,Sim,Sim,Muito pouco,Investimentos,,Não,,,Aplicativos,"Planejar o mês, Entender finanças",Não sei o que é dashboard,Planejamento automático,Não,Não possuo pendências,Às vezes,Sim
05/05/2026 21:49:11,18 a 24 anos,Estudante,Não possuo renda fixa,Sim,Aplicativos,Raramente,Nunca,Possuo renda mas não planejo,Sim,Sim,,3,Talvez,Sim,"Youtube, Bancos, Redes Sociais",Sim,2,Sim,Sim,Parcialmente,Investimentos,,Não,,,"Vídeos, Aplicativos, Redes sociais","Planejar o mês, Entender finanças",Sim,Gráficos e visualização de gastos,Não,Não possuo pendências,Não pago contas,Talvez
05/05/2026 22:11:51,Menos de 18 anos,Estudante,Não possuo renda fixa,Às vezes,Anotações (caderno/bloco de notas),Raramente,Às vezes,Raramente,Não,Não,,2,Talvez,Não,Não busco informações,Sim,3,Parcialmente,Sim,Muito pouco,"Investimentos, Planejamento financeiro, ",,Não,,Dicas de investimento ,"Vídeos, Aplicativos, Redes sociais",Entender finanças,Não sei o que é dashboard,Planejamento automático,Não,Não possuo pendências,Não pago contas,Sim
05/05/2026 22:12:58,18 a 24 anos,Estudante,Até 1 salário mínimo,Às vezes,Planilhas,Raramente,Frequentemente,Possuo renda mas não planejo,Não,Não,,2,Sim,Não,"Youtube, Redes Sociais",Não,,Sim,Sim,Parcialmente,"Controle de gastos, Investimentos, Planejamento financeiro","O pouco contanto com o dinheiro e ações que façam eu ter de me aproximar mais de tal, por conta da idade. Porém daqui poucos anos essa falta de aprendizado fará falta. ",Não,,Aonde que vão os meus gastos ,"Vídeos, Aplicativos, Cursos online","Controlar gastos, Entender finanças",Sim,Gráficos e visualização de gastos,Não,Cartão de crédito,Nunca,Sim
05/05/2026 22:19:41,18 a 24 anos,Empregado (CLT),2 a 5 salários mínimos,Sim,De cabeça mesmo,Diariamente,Raramente,Sempre,Sim,Sim,Renda fixa,4,Talvez,Sim,"Youtube, Bancos, Redes Sociais, Cursos Online",Sim,3,Parcialmente,Sim,"Sim, bem","Investimentos, Juros",.,Não,,Metados que eu não conseguiria achar ou pensar sem ser utilizado a plataforma.,"Aplicativos, Cursos online, Artigos, Livros que falem sobre a doutrina.",.,Talvez,Gráficos e visualização de gastos,Não,Não possuo pendências,Nunca,Sim
05/05/2026 22:24:12,18 a 24 anos,Empresário ,1 a 2 salários mínimos,Sim,Aplicativos,Semanalmente,Frequentemente,Às vezes,Estou construindo,Não,,3,Sim,Não,"Youtube, Redes Sociais",Não,,Sim,Sim,"Sim, bem",Investimentos,Tenho dificuldade em entender os tipos de investimento e o receio de realizar escolhas equivocadas.,Sim,3,"Facilidade, personalização.","Vídeos, Aplicativos, Redes sociais","Controlar gastos, Economizar, Planejar o mês",Sim,Alertas de limite,Não,"Cartão de crédito, Financiamentos (carros, casa, etc.)",Às vezes,Sim
05/05/2026 22:29:49,18 a 24 anos,Estagiário,Até 1 salário mínimo,Às vezes,Não controlo,Raramente,Nunca,Raramente,Sim,Sim,Caixinha do nubank,3,Sim,Sim,"Youtube, Redes Sociais",Sim,2,Sim,Sim,Parcialmente,"Investimentos, Juros",,Não,,Como controlar gastos,"Vídeos, Aplicativos","Controlar gastos, Planejar o mês",Sim,Gráficos e visualização de gastos,Não,Não possuo pendências,Raramente,Sim
05/05/2026 22:31:57,18 a 24 anos,Estudante,Não possuo renda fixa,Sim,Anotações (caderno/bloco de notas),Semanalmente,Às vezes,Sempre,Estou construindo,Não,,3,Talvez,Não,Não busco informações,Sim,2,Sim,Sim,Parcialmente,Investimentos,,Não,,,Vídeos,Economizar,Sim,Gráficos e visualização de gastos,Não,Não possuo pendências,Nunca,Não
05/05/2026 22:39:50,45 ou mais,Empregado (CLT),Mais de 5 salários mínimos,Às vezes,Não controlo,Não registro,Raramente,Às vezes,Sim,Sim,Cdb,3,Sim,Sim,Redes Sociais,Não,,Sim,Sim,"Sim, bem","Investimentos, Planejamento financeiro",Tempo,Não,,,"Vídeos, Aplicativos, Cursos online","Planejar o mês, Entender finanças",Talvez,Alertas de limite,Não,Não possuo pendências,Nunca,Talvez
05/05/2026 23:54:33,18 a 24 anos,Autônomo / Freelancer,1 a 2 salários mínimos,Às vezes,Anotações (caderno/bloco de notas),Raramente,Às vezes,Raramente,Sim,Não,,3,Sim,Não,Não busco informações,Não,,Sim,Sim,"Sim, bem","Controle de gastos, Investimentos, Planejamento financeiro",,Não,,,"Vídeos, Aplicativos, Redes sociais","Controlar gastos, Economizar, Entender finanças",Não sei o que é dashboard,Conteúdos educativos,Não,Não possuo pendências,Nunca,Sim
