timestamp;faixa_etaria;situacao_profissional;renda_mensal;controla_gastos;como_controla_gastos;freq_registro_gastos;ultrapassa_orcamento;planeja_gastos;tem_reserva_emergencia;faz_investimento;tipo_investimento;nota_educ_financeira;interesse_aprender;fez_curso_financas;fontes_informacao;educ_financeira_escola;se_sim_o_quao_eficiente_voce_sentiu_que_foram_essas_aulas_nao_responda_caso_nao_tenha_tido_aulas;sente_falta_educ;acredita_ferramentas_digitais;entende_conceitos_basicos;temas_dificeis;dificuldade_aprendizado;usou_app_financeiro;se_sim_qual_foi_sua_experiencia_nao_responda_caso_nao_tenha_tido_experiencia;desejo_sistema;formato_aprendizado;maior_dificuldade_dinheiro;dashboard_ajudaria;tipo_ajuda_util;esta_inadimplente;tipos_pendencias;freq_dificuldade_pagamento;voce_teria_interesse_em_usar_um_app_site_de_controle_financeiro_que_alem_de_organizar_seus_gastos_tambem_ofereca_conteudos_e_orientacoes_para_melhorar_sua_educacao_financeira
2026-05-05 21:49:11;18 A 24 Anos;Estudante;Não Possuo Renda Fixa;Sim;Aplicativos;Raramente;Nunca;Possuo renda mas não planejo;Sim;Sim;Não se aplica;3;Talvez;Sim;Youtube, Bancos, Redes Sociais;Sim;2.0;Sim;Sim;Parcialmente;Investimentos;Não se aplica;Não;Não se aplica;Não se aplica;Vídeos, Aplicativos, Redes sociais;Planejar o mês, Entender finanças;Sim;Gráficos e visualização de gastos;Não;Não possuo pendências;Não pago contas;Talvez
2026-05-05 22:11:51;Menos De 18 Anos;Estudante;Não Possuo Renda Fixa;Às vezes;Anotações (caderno/bloco de notas);Raramente;Às vezes;Raramente;Não;Não;Não se aplica;2;Talvez;Não;Não busco informações;Sim;3.0;Parcialmente;Sim;Muito pouco;Investimentos, Planejamento financeiro,;Não se aplica;Não;Não se aplica;Dicas de investimento ;Vídeos, Aplicativos, Redes sociais;Entender finanças;Não sei o que é dashboard;Planejamento automático;Não;Não possuo pendências;Não pago contas;Sim
2026-05-05 22:12:58;18 A 24 Anos;Estudante;Até 1 Salário Mínimo;Às vezes;Planilhas;Raramente;Frequentemente;Possuo renda mas não planejo;Não;Não;Não se aplica;2;Sim;Não;Youtube, Redes Sociais;Não;Não se aplica;Sim;Sim;Parcialmente;Controle de gastos, Investimentos, Planejamento financeiro;O pouco contanto com o dinheiro e ações que façam eu ter de me aproximar mais de tal, por conta da idade. Porém daqui poucos anos essa falta de aprendizado fará falta. ;Não;Não se aplica;Aonde que vão os meus gastos ;Vídeos, Aplicativos, Cursos online;Controlar gastos, Entender finanças;Sim;Gráficos e visualização de gastos;Não;Cartão de crédito;Nunca;Sim
2026-05-05 22:19:41;18 A 24 Anos;Empregado (Clt);2 A 5 Salários Mínimos;Sim;De cabeça mesmo;Diariamente;Raramente;Sempre;Sim;Sim;Renda fixa;4;Talvez;Sim;Youtube, Bancos, Redes Sociais, Cursos Online;Sim;3.0;Parcialmente;Sim;Sim, bem;Investimentos, Juros;.;Não;Não se aplica;Metados que eu não conseguiria achar ou pensar sem ser utilizado a plataforma.;Aplicativos, Cursos online, Artigos, Livros que falem sobre a doutrina.;.;Talvez;Gráficos e visualização de gastos;Não;Não possuo pendências;Nunca;Sim
2026-05-05 22:24:12;18 A 24 Anos;Empresário;1 A 2 Salários Mínimos;Sim;Aplicativos;Semanalmente;Frequentemente;Às vezes;Estou Construindo;Não;Não se aplica;3;Sim;Não;Youtube, Redes Sociais;Não;Não se aplica;Sim;Sim;Sim, bem;Investimentos;Tenho dificuldade em entender os tipos de investimento e o receio de realizar escolhas equivocadas.;Sim;3.0;Facilidade, personalização.;Vídeos, Aplicativos, Redes sociais;Controlar gastos, Economizar, Planejar o mês;Sim;Alertas de limite;Não;Cartão de crédito, Financiamentos (carros, casa, etc.);Às vezes;Sim
2026-05-05 22:29:49;18 A 24 Anos;Estagiário;Até 1 Salário Mínimo;Às vezes;Não controlo;Raramente;Nunca;Raramente;Sim;Sim;Caixinha do nubank;3;Sim;Sim;Youtube, Redes Sociais;Sim;2.0;Sim;Sim;Parcialmente;Investimentos, Juros;Não se aplica;Não;Não se aplica;Como controlar gastos;Vídeos, Aplicativos;Controlar gastos, Planejar o mês;Sim;Gráficos e visualização de gastos;Não;Não possuo pendências;Raramente;Sim
2026-05-05 22:31:57;18 A 24 Anos;Estudante;Não Possuo Renda Fixa;Sim;Anotações (caderno/bloco de notas);Semanalmente;Às vezes;Sempre;Estou Construindo;Não;Não se aplica;3;Talvez;Não;Não busco informações;Sim;2.0;Sim;Sim;Parcialmente;Investimentos;Não se aplica;Não;Não se aplica;Não se aplica;Vídeos;Economizar;Sim;Gráficos e visualização de gastos;Não;Não possuo pendências;Nunca;Não
2026-05-05 22:39:50;45 Ou Mais;Empregado (Clt);Mais De 5 Salários Mínimos;Às vezes;Não controlo;Não registro;Raramente;Às vezes;Sim;Sim;Cdb;3;Sim;Sim;Redes Sociais;Não;Não se aplica;Sim;Sim;Sim, bem;Investimentos, Planejamento financeiro;Tempo;Não;Não se aplica;Não se aplica;Vídeos, Aplicativos, Cursos online;Planejar o mês, Entender finanças;Talvez;Alertas de limite;Não;Não possuo pendências;Nunca;Talvez
2026-05-05 23:54:33;18 A 24 Anos;Autônomo / Freelancer;1 A 2 Salários Mínimos;Às vezes;Anotações (caderno/bloco de notas);Raramente;Às vezes;Raramente;Sim;Não;Não se aplica;3;Sim;Não;Não busco informações;Não;Não se aplica;Sim;Sim;Sim, bem;Controle de gastos, Investimentos, Planejamento financeiro;Não se aplica;Não;Não se aplica;Não se aplica;Vídeos, Aplicativos, Redes sociais;Controlar gastos, Economizar, Entender finanças;Não sei o que é dashboard;Conteúdos educativos;Não;Não possuo pendências;Nunca;Sim
2026-05-06 07:19:38;18 A 24 Anos;Estagiário;2 A 5 Salários Mínimos;Sim;Planilhas;Diariamente;Raramente;Às vezes;Estou Construindo;Sim;Não se aplica;3;Sim;Sim;Youtube, Redes Sociais;Sim;1.0;Parcialmente;Sim;Parcialmente;Investimentos, Imposto;Não se aplica;Sim;4.0;Gráfico com saídas e entradas ;Vídeos, Redes sociais;Controlar gastos, Entender finanças;Sim;Gráficos e visualização de gastos;Não;Não possuo pendências;Nunca;Sim
